Record Number,Date,Time,Latitude,Longitude,Speed(km/h),Altitude(meters)
1,2012-06-07,10:48:09,5819.6372,-13427.7605,,6.1
2,2012-06-07,10:48:35,5825.0904,-13435.3925,,5.9
3,2012-06-07,10:49:02,5825.0900,-13435.3950,0.33,9.0
4,2012-06-07,10:49:13,5825.0905,-13435.3968,0.68,12.2
5,2012-06-07,10:49:28,5825.0893,-13435.3959,,22.9
6,2012-06-07,10:49:35,5825.0885,-13435.3937,1.34,12.9
7,2012-06-07,10:49:36,5825.0882,-13435.3938,1.61,12.7
8,2012-06-07,10:51:23,5825.0880,-13435.3954,0.05,13.6
9,2012-06-07,10:52:19,5825.0882,-13435.3981,0.17,13.9
10,2012-06-07,10:52:31,5825.0948,-13435.3999,3.71,14.0
11,2012-06-07,10:52:37,5825.0981,-13435.4002,3.61,13.5
12,2012-06-07,10:52:48,5825.1031,-13435.3904,4.36,15.7
13,2012-06-07,10:52:51,5825.1065,-13435.3865,8.74,15.4
14,2012-06-07,10:52:53,5825.1089,-13435.3846,8.83,15.0
15,2012-06-07,10:52:58,5825.1125,-13435.3813,5.27,15.0
16,2012-06-07,10:53:07,5825.1166,-13435.3767,3.55,14.3
17,2012-06-07,10:53:21,5825.1204,-13435.3748,1.89,13.9
18,2012-06-07,10:53:34,5825.1296,-13435.3543,7.24,13.6
19,2012-06-07,10:53:48,5825.1379,-13435.3419,5.02,13.0
20,2012-06-07,10:53:57,5825.1419,-13435.3391,3.17,13.4
21,2012-06-07,10:54:02,5825.1437,-13435.3370,2.75,13.7
22,2012-06-07,10:54:05,5825.1449,-13435.3332,5.21,13.3
23,2012-06-07,10:54:15,5825.1509,-13435.3275,4.50,14.0
24,2012-06-07,10:54:36,5825.1619,-13435.3163,3.96,15.7
25,2012-06-07,10:54:53,5825.1711,-13435.3066,4.11,17.1
26,2012-06-07,10:55:09,5825.1798,-13435.2971,4.18,16.2
27,2012-06-07,10:55:27,5825.1961,-13435.2991,6.06,15.5
28,2012-06-07,10:55:30,5825.1994,-13435.2983,7.39,15.9
29,2012-06-07,10:55:38,5825.2070,-13435.3005,6.43,16.5
30,2012-06-07,10:55:46,5825.2125,-13435.3033,4.77,16.3
31,2012-06-07,10:56:04,5825.2250,-13435.3006,4.66,16.5
32,2012-06-07,10:56:11,5825.2296,-13435.2966,4.77,15.7
33,2012-06-07,10:56:12,5825.2313,-13435.2975,11.97,15.5
34,2012-06-07,10:56:23,5825.2394,-13435.2965,4.89,14.9
35,2012-06-07,10:56:29,5825.2446,-13435.2957,5.89,14.7
36,2012-06-07,10:56:35,5825.2485,-13435.2972,4.36,14.7
37,2012-06-07,10:56:47,5825.2556,-13435.3013,4.15,14.9
38,2012-06-07,10:57:01,5825.2670,-13435.3062,5.57,14.9
39,2012-06-07,10:57:18,5825.2816,-13435.3096,5.76,15.3
40,2012-06-07,10:57:19,5825.2824,-13435.3095,5.21,15.2
41,2012-06-07,10:57:31,5825.2919,-13435.3074,5.34,15.2
42,2012-06-07,10:57:45,5825.3028,-13435.3027,5.33,15.2
43,2012-06-07,10:58:04,5825.3164,-13435.2930,5.09,15.2
44,2012-06-07,10:58:15,5825.3211,-13435.2802,4.97,14.7
45,2012-06-07,10:58:20,5825.3240,-13435.2744,5.51,14.8
46,2012-06-07,10:58:28,5825.3265,-13435.2666,4.02,14.7
47,2012-06-07,10:58:38,5825.3310,-13435.2604,3.73,14.9
48,2012-06-07,10:58:54,5825.3399,-13435.2555,3.85,15.5
49,2012-06-07,10:59:07,5825.3499,-13435.2581,5.16,15.8
50,2012-06-07,10:59:18,5825.3616,-13435.2621,7.21,16.6
51,2012-06-07,10:59:33,5825.3686,-13435.2579,3.28,17.3
52,2012-06-07,10:59:43,5825.3745,-13435.2535,4.25,17.8
53,2012-06-07,11:00:00,5825.3858,-13435.2471,4.62,18.3
54,2012-06-07,11:00:14,5825.3967,-13435.2447,5.21,18.0
55,2012-06-07,11:00:30,5825.4061,-13435.2466,3.95,17.1
56,2012-06-07,11:00:47,5825.4171,-13435.2556,4.69,16.9
57,2012-06-07,11:00:59,5825.4285,-13435.2594,6.47,17.2
58,2012-06-07,11:01:13,5825.4371,-13435.2538,4.32,17.4
59,2012-06-07,11:01:25,5825.4462,-13435.2430,5.95,17.6
60,2012-06-07,11:01:40,5825.4549,-13435.2363,4.17,17.7
61,2012-06-07,11:01:51,5825.4638,-13435.2323,5.57,17.4
62,2012-06-07,11:02:02,5825.4711,-13435.2283,4.61,17.3
63,2012-06-07,11:02:13,5825.4768,-13435.2238,3.71,17.7
64,2012-06-07,11:02:29,5825.4897,-13435.2202,5.46,17.7
65,2012-06-07,11:02:46,5825.5043,-13435.2148,5.83,18.0
66,2012-06-07,11:02:54,5825.5099,-13435.2099,5.13,18.1
67,2012-06-07,11:03:07,5825.5181,-13435.2010,4.85,18.3
68,2012-06-07,11:03:20,5825.5311,-13435.1941,6.90,18.5
69,2012-06-07,11:03:39,5825.5412,-13435.1888,3.67,19.6
70,2012-06-07,11:04:00,5825.5519,-13435.1762,4.00,18.3
71,2012-06-07,11:04:16,5825.5615,-13435.1629,4.94,17.9
72,2012-06-07,11:04:23,5825.5638,-13435.1555,4.33,17.9
73,2012-06-07,11:04:33,5825.5700,-13435.1478,4.89,18.0
74,2012-06-07,11:04:50,5825.5790,-13435.1286,5.32,18.1
75,2012-06-07,11:05:13,5825.5954,-13435.1130,5.31,17.1
76,2012-06-07,11:05:23,5825.6010,-13435.1044,4.77,18.5
77,2012-06-07,11:05:36,5825.6078,-13435.0925,4.76,19.3
78,2012-06-07,11:05:48,5825.6173,-13435.0912,5.28,19.7
79,2012-06-07,11:06:01,5825.6235,-13435.0810,4.18,19.8
80,2012-06-07,11:06:17,5825.6292,-13435.0657,4.11,20.2
81,2012-06-07,11:06:37,5825.6382,-13435.0498,4.10,20.1
82,2012-06-07,11:06:52,5825.6409,-13435.0362,3.37,21.2
83,2012-06-07,11:07:03,5825.6490,-13435.0282,5.56,22.1
84,2012-06-07,11:07:25,5825.6595,-13435.0099,4.30,23.4
85,2012-06-07,11:07:47,5825.6709,-13434.9924,4.45,23.4
86,2012-06-07,11:08:03,5825.6781,-13434.9783,4.29,23.6
87,2012-06-07,11:08:17,5825.6823,-13434.9627,4.36,23.8
88,2012-06-07,11:08:36,5825.6929,-13434.9424,5.27,25.4
89,2012-06-07,11:08:52,5825.6970,-13434.9294,3.32,27.1
90,2012-06-07,11:09:02,5825.7026,-13434.9230,4.37,27.6
91,2012-06-07,11:09:15,5825.7150,-13434.9164,6.59,28.1
92,2012-06-07,11:09:24,5825.7193,-13434.9106,3.91,27.8
93,2012-06-07,11:09:36,5825.7186,-13434.8970,4.00,28.1
94,2012-06-07,11:09:44,5825.7171,-13434.8878,4.20,28.9
95,2012-06-07,11:09:57,5825.7200,-13434.8740,3.99,28.3
96,2012-06-07,11:10:07,5825.7239,-13434.8655,3.93,29.6
97,2012-06-07,11:10:24,5825.7313,-13434.8472,4.77,31.1
98,2012-06-07,11:10:37,5825.7386,-13434.8349,5.00,32.4
99,2012-06-07,11:10:48,5825.7433,-13434.8254,4.14,32.5
100,2012-06-07,11:10:56,5825.7481,-13434.8205,4.54,32.0
101,2012-06-07,11:11:06,5825.7522,-13434.8127,3.88,32.3
102,2012-06-07,11:11:23,5825.7677,-13434.8074,6.15,32.2
103,2012-06-07,11:11:40,5825.7752,-13434.7857,5.35,33.1
104,2012-06-07,11:11:54,5825.7818,-13434.7815,3.34,33.5
105,2012-06-07,11:12:15,5825.7948,-13434.7739,4.32,33.5
106,2012-06-07,11:12:27,5825.8026,-13434.7633,5.33,33.6
107,2012-06-07,11:12:36,5825.8082,-13434.7491,6.85,34.3
108,2012-06-07,11:12:44,5825.8124,-13434.7453,3.87,34.8
